config,workload,ramulator.normalized_ipc,nrh
REGA500,458.sjeng,0.9990531295377983,500
REGA250,458.sjeng,0.9979606984982017,250
REGA125,458.sjeng,0.9940222823818249,125
PARA1000,458.sjeng,0.9965567432073345,1000
PARA500,458.sjeng,0.9931371170828905,500
PARA250,458.sjeng,0.9867120608197099,250
PARA125,458.sjeng,0.9676052747089777,125
Baseline0,471.omnetpp,1.0,0
CoMeT125,471.omnetpp,1.0,125
CoMeT250,471.omnetpp,1.0,250
CoMeT500,471.omnetpp,1.0,500
CoMeT1000,471.omnetpp,1.0,1000
Graphene1000,471.omnetpp,1.0,1000
Graphene500,471.omnetpp,1.0,500
Graphene250,471.omnetpp,1.0,250
Graphene125,471.omnetpp,1.0,125
Hydra1000,471.omnetpp,1.0,1000
Hydra500,471.omnetpp,1.0,500
Hydra250,471.omnetpp,1.0,250
Hydra125,471.omnetpp,1.0,125
REGA1000,471.omnetpp,1.0,1000
REGA500,471.omnetpp,1.0,500
REGA250,471.omnetpp,0.9991219714981004,250
REGA125,471.omnetpp,0.9970690421153482,125
PARA1000,471.omnetpp,0.9993281417456419,1000
PARA500,471.omnetpp,0.9989278491074076,500
PARA250,471.omnetpp,0.9974396441095533,250
PARA125,471.omnetpp,0.9924977587082948,125
Baseline0,507.cactuBSSN,1.0,0
CoMeT125,507.cactuBSSN,0.998727074020101,125
CoMeT250,507.cactuBSSN,1.0,250
CoMeT500,507.cactuBSSN,1.0,500
CoMeT1000,507.cactuBSSN,1.0,1000
Graphene1000,507.cactuBSSN,1.0,1000
Graphene500,507.cactuBSSN,1.0,500
Graphene250,507.cactuBSSN,1.0,250
Graphene125,507.cactuBSSN,0.9999919568277611,125
Hydra1000,507.cactuBSSN,1.0,1000
Hydra500,507.cactuBSSN,1.0,500
Hydra250,507.cactuBSSN,0.9996199187707939,250
Hydra125,507.cactuBSSN,0.9952844486897376,125
REGA1000,507.cactuBSSN,1.0,1000
REGA500,507.cactuBSSN,0.999062441265607,500
REGA250,507.cactuBSSN,0.9878048947846815,250
REGA125,507.cactuBSSN,0.961606956339292,125
PARA1000,507.cactuBSSN,0.9938693847568603,1000
PARA500,507.cactuBSSN,0.9870978927031241,500
PARA250,507.cactuBSSN,0.9728703363093292,250
PARA125,507.cactuBSSN,0.928003188684675,125
Baseline0,436.cactusADM,1.0,0
CoMeT125,436.cactusADM,0.9688259127002181,125
CoMeT250,436.cactusADM,0.9864903958045996,250
CoMeT500,436.cactusADM,0.9972901492885994,500
CoMeT1000,436.cactusADM,1.0,1000
Graphene1000,436.cactusADM,0.9999396762179247,1000
Graphene500,436.cactusADM,0.9988845538978348,500
Graphene250,436.cactusADM,0.988750752723734,250
Graphene125,436.cactusADM,0.9756340143950777,125
